label,dc,text_snippet
0,1.070313,"教育口述史是通过自述、笔录、录音和录影等现代技术手段，记录教育历史事件当事人或者目击者的回忆而保存的..."
0,0.535156,"山西省农村中小学教师参加培训的工学矛盾依然存在。对农村中小学教师进行访谈后发现：教师培训多安排在节假..."
0,0.373047,"发生学始终把现实作为科学研究出发点和归宿，其研究对象是一切历史事物本身的实际发生和演变过程。殷商职业..."
0,0.855469,"在建设资源节约型和环境友好型社会以及生态文明大背景下，开展环境研究以鼓励和督促上市公司加强节能减排、..."
0,-0.890625,"根据患者情况可联用临床常用的抗抑郁药物治疗，但在ＭＥＣＴ治疗期间不能调整剂量，包括：盐酸氟西汀片２０..."
0,-0.789063,"选择2015年5月~2018年5月海南省人民医院经多导睡眠监测诊断为OSAHS患者60例,根据患者病..."
0,-1.203125,"据统计，１９６０年我国６５岁及以上老龄人口在总人口中占比约为４．０％，老年抚养比约为６．８％，到２０..."
0,-0.231445,"刘利民认为，明确学校内部管理的权利和责任，实现学校自治能力的提升，是学校办学主体地位强化落实的关键。..."
0,-0.640625,"在家庭异质性方面的扩展上，一个重要的考虑是家庭收入差异对居民区位选择的影响，如果将家庭的收入异质性设..."
0,2.953125,"在人脑支撑认知能力的五个子系统中，记忆处于第一位,其次才是感知、想象、推理与语言。英国作家巴恩斯所处..."
0,-0.429688,"业界一致认为，AI的发展由计算智能阶段、感知智能阶段和认知智能阶段三大阶段组成，目前正处于第二个发展..."
0,-0.800781,"在我国，目前只有16%的企业进入到智能制造的应用阶段，并且还存在着智能化程度不够，各类企业智能化发展..."
0,1.898438,"古希腊的philosophy起于惊异，而中国先秦的哲学始于忧患。居今之世，当代中国哲学将以何种情调重..."
0,-0.439453,"'立法评估' '立法前评估' '立法后评估' '绩效评估' '实施情况评估' '(监管)影响评估'等..."
0,-1.507813,"从篇章目录来看袁四本教材都涵盖了叶新课标曳所要求的野人工智能基础冶野简单人工智能应用模块开发冶野人工..."
0,1.992188,"将虚拟化技术引入WSN网络，可有效缓解当前WSN网络中资源利用率较低、服务灵活性较差的问题。利用虚拟..."
0,-1.890625,"3A护理带教老师心理健康水平低于全国护士临床教学是护理教育的重要环节而临床教学质量在很大程度上取决于..."
0,0.345703,"截止2020年末，我国就业人员7.5亿人，约占全国人口的53%，按照女性在全人口49%占比，则女性就..."
0,-0.233398,"同时她的作品具有强烈的个人风格，与传统的宏大叙事不同，也没有跟随同时期先锋小说'形式实验'的浪潮#因..."
0,0.878906,"该数据库整合了目前全面的基因调控网络信息。为了研究转录后调控因子如miRNA在基因调控中的重要作用，..."
0,1.468750,"考虑到不超过20%无效样本量的情况下，确认样本量为228~456。研究对象纳入标准：）符合美国肾脏病..."
0,0.585938,"最早源自《刺客列传》的'刺秦'故事因其本身的传奇性与戏剧性，一直受到电影人的青睐。迄今为止，'刺秦'..."
0,0.093262,"关于专利权地域性之成因的经典理论解释认为，专利权脱胎于封建特权，封建割据的地域性使得其只能在产生的地..."
0,-0.470703,"'纲要'作为一种公共历史知识的高阶供给形态，担负着规划现代中国之历史参照系的公共职能。近世中国的社会..."
0,0.511719,"神经组织行为学的研究主题,应努力挖掘研究对个体认知、行为及组织管理实践潜在的反作用和应用价值,即通过..."
0,-0.361328,"《网络安全法》中个人信息的称谓并无与其他规范性文件中的个人数据（资料）区分的必要，事实上也无区分的可..."
0,-0.363281,"但是，目前中职毕业生升入高职院校、高职毕业生升入本科院校的比例越来越大，这还是不是就业导向？客观来讲..."
0,-0.386719,"数据湖投用之前，西气东输开展了对单向传输的可靠性测试。测试内容是对单向传输设置不同的刷新速率，然后查..."
0,2.046875,"采用'学校在线教育综合平台+直播+QQ'混合线上教学模式，即：学校在线教育综合平台作为课前预习与课程..."
0,0.000000,"虽然伊泽尔最初提出的召唤结构主要是针对文学作品的审美，但该理论考虑的是如何吸引受众和启发受众的审美思..."
0,-1.039063,"Web of Science收录的'sustainable development'相关的英文文献也..."
0,-1.289063,"随着互联网信息技术、大数据技术的不断进步，电子商务的普及程度日益提高，电商运营模式也日益精进。消费者..."
0,0.898438,"之所以出现这种不匹配,宋史学界应从自身方面多找原因。一方面,现存宋代文献史料状况或许强化了两者的疏离..."
0,0.355469,"首先，全球史以'整体'的世界为历史考察的背景。全球史是一种新型的世界史，它研究的是全球而不是某一国家..."
0,0.628906,"以上回归结果显示，港口对城市经济增长具有显著的正向效应，这种经济增长效应是否会随着城市间的空间互动外..."
0,0.126953,"对于食管癌的放射治疗，处方剂量、剂量分布和剂量体积直方图（dose-volumehistogram，..."
0,-1.343750,"但是修辞学观照下的相关研究没有触及隐喻和转喻形成的思维过程,换言之,未能把二者作为一种思维过程来理解..."
